{'yaw': 175.072, 'pitch': 29.46779, 'roll': 13.74772, 'Ax': 880, 'Ay': 857, 'Az': 10038, 'timestamps': 1542885180.1013823}
{'yaw': 174.8711, 'pitch': 29.36585, 'roll': 14.26589, 'Ax': 1147, 'Ay': 798, 'Az': 10046, 'timestamps': 1542885180.1103058}
{'yaw': 174.6334, 'pitch': 29.11416, 'roll': 14.74228, 'Ax': 1438, 'Ay': 671, 'Az': 10000, 'timestamps': 1542885180.1104028}
{'yaw': 174.4697, 'pitch': 28.69007, 'roll': 15.14475, 'Ax': 1776, 'Ay': 294, 'Az': 9960, 'timestamps': 1542885180.1248884}
{'yaw': 174.3826, 'pitch': 28.1678, 'roll': 15.3853, 'Ax': 2224, 'Ay': -127, 'Az': 9839, 'timestamps': 1542885180.1249855}
{'yaw': 174.3657, 'pitch': 27.6204, 'roll': 15.46827, 'Ax': 2717, 'Ay': -433, 'Az': 9643, 'timestamps': 1542885180.1250474}
{'yaw': 174.3858, 'pitch': 27.09527, 'roll': 15.417, 'Ax': 3123, 'Ay': -728, 'Az': 9479, 'timestamps': 1542885180.1251044}
{'yaw': 174.4836, 'pitch': 26.54717, 'roll': 15.21393, 'Ax': 3281, 'Ay': -1034, 'Az': 9444, 'timestamps': 1542885180.1251614}
{'yaw': 174.6344, 'pitch': 25.89928, 'roll': 14.86928, 'Ax': 2976, 'Ay': -1115, 'Az': 9562, 'timestamps': 1542885180.164087}
{'yaw': 174.8469, 'pitch': 24.97849, 'roll': 14.37973, 'Ax': 2302, 'Ay': -909, 'Az': 9747, 'timestamps': 1542885180.1719885}
{'yaw': 175.094, 'pitch': 23.76883, 'roll': 13.76999, 'Ax': 1511, 'Ay': -684, 'Az': 9921, 'timestamps': 1542885180.1720815}
{'yaw': 175.3112, 'pitch': 22.36168, 'roll': 13.07139, 'Ax': 693, 'Ay': -538, 'Az': 10058, 'timestamps': 1542885180.1721444}
{'yaw': 175.4742, 'pitch': 20.84788, 'roll': 12.31907, 'Ax': -29, 'Ay': -410, 'Az': 10098, 'timestamps': 1542885180.1722038}
{'yaw': 175.5659, 'pitch': 19.28069, 'roll': 11.55592, 'Ax': -647, 'Ay': -275, 'Az': 9998, 'timestamps': 1542885180.175665}
{'yaw': 175.5956, 'pitch': 17.72301, 'roll': 10.82009, 'Ax': -1124, 'Ay': -251, 'Az': 9615, 'timestamps': 1542885180.1821952}
{'yaw': 175.6066, 'pitch': 16.1479, 'roll': 10.14441, 'Ax': -1688, 'Ay': -296, 'Az': 9172, 'timestamps': 1542885180.2004426}
{'yaw': 175.6225, 'pitch': 14.52802, 'roll': 9.551568, 'Ax': -2392, 'Ay': -254, 'Az': 8677, 'timestamps': 1542885180.2091815}
{'yaw': 175.637, 'pitch': 12.8376, 'roll': 9.073576, 'Ax': -3133, 'Ay': -40, 'Az': 8091, 'timestamps': 1542885180.2436085}
{'yaw': 175.6274, 'pitch': 11.08068, 'roll': 8.755747, 'Ax': -3718, 'Ay': 146, 'Az': 7436, 'timestamps': 1542885180.2539256}
{'yaw': 175.5587, 'pitch': 9.308033, 'roll': 8.520602, 'Ax': -4034, 'Ay': 41, 'Az': 6827, 'timestamps': 1542885180.2540252}
{'yaw': 175.3795, 'pitch': 7.647945, 'roll': 8.293012, 'Ax': -3942, 'Ay': -174, 'Az': 6122, 'timestamps': 1542885180.2540903}
{'yaw': 175.1154, 'pitch': 6.165849, 'roll': 8.045445, 'Ax': -3650, 'Ay': -363, 'Az': 5326, 'timestamps': 1542885180.2595458}
{'yaw': 174.9195, 'pitch': 4.755115, 'roll': 7.849205, 'Ax': -3595, 'Ay': -722, 'Az': 4611, 'timestamps': 1542885180.292767}
{'yaw': 174.9431, 'pitch': 3.292369, 'roll': 7.630763, 'Ax': -3827, 'Ay': -1293, 'Az': 4095, 'timestamps': 1542885180.3052368}
{'yaw': 175.1734, 'pitch': 1.723305, 'roll': 7.376686, 'Ax': -4170, 'Ay': -1344, 'Az': 3407, 'timestamps': 1542885180.3053293}
{'yaw': 175.4887, 'pitch': 0.066743, 'roll': 7.162249, 'Ax': -4311, 'Ay': -962, 'Az': 2474, 'timestamps': 1542885180.3053937}
{'yaw': 175.779, 'pitch': -1.565945, 'roll': 6.987657, 'Ax': -4142, 'Ay': -577, 'Az': 1515, 'timestamps': 1542885180.3117452}
{'yaw': 175.906, 'pitch': -3.043134, 'roll': 6.816588, 'Ax': -3624, 'Ay': -131, 'Az': 575, 'timestamps': 1542885180.3156414}
{'yaw': 175.8312, 'pitch': -4.220881, 'roll': 6.718318, 'Ax': -2701, 'Ay': 519, 'Az': -399, 'timestamps': 1542885180.357111}
{'yaw': 175.5932, 'pitch': -5.035852, 'roll': 6.747674, 'Ax': -1759, 'Ay': 1197, 'Az': -1369, 'timestamps': 1542885180.3956366}
{'yaw': 175.2758, 'pitch': -5.694292, 'roll': 6.897967, 'Ax': -2039, 'Ay': 977, 'Az': -2048, 'timestamps': 1542885180.401981}
{'yaw': 175.1318, 'pitch': -6.481184, 'roll': 6.916778, 'Ax': -2845, 'Ay': -186, 'Az': -2215, 'timestamps': 1542885180.4020762}
{'yaw': 175.1389, 'pitch': -7.376205, 'roll': 6.644256, 'Ax': -3215, 'Ay': -814, 'Az': -2487, 'timestamps': 1542885180.402141}
{'yaw': 175.1809, 'pitch': -8.237364, 'roll': 6.274963, 'Ax': -2949, 'Ay': -434, 'Az': -3163, 'timestamps': 1542885180.5627654}
{'yaw': 175.1477, 'pitch': -8.962796, 'roll': 5.902334, 'Ax': -2693, 'Ay': 132, 'Az': -3885, 'timestamps': 1542885180.6013293}
{'yaw': 175.0285, 'pitch': -9.689439, 'roll': 5.586923, 'Ax': -2946, 'Ay': 856, 'Az': -4562, 'timestamps': 1542885180.6014292}
{'yaw': 174.9225, 'pitch': -10.44308, 'roll': 5.45916, 'Ax': -2961, 'Ay': 1663, 'Az': -5244, 'timestamps': 1542885180.601492}
