{'yaw': -2.792231, 'pitch': -1.932698, 'roll': 5.650596, 'Ax': -596, 'Ay': 435, 'Az': -5250, 'timestamps': 1542884654.0799863}
{'yaw': -2.523909, 'pitch': -1.68743, 'roll': 4.511117, 'Ax': -578, 'Ay': 79, 'Az': -4894, 'timestamps': 1542884654.090895}
{'yaw': -2.22692, 'pitch': -1.49935, 'roll': 3.374824, 'Ax': -477, 'Ay': -233, 'Az': -4664, 'timestamps': 1542884654.09889}
{'yaw': -1.868565, 'pitch': -1.369145, 'roll': 2.212665, 'Ax': -155, 'Ay': -489, 'Az': -4437, 'timestamps': 1542884654.1134417}
{'yaw': -1.44385, 'pitch': -1.267293, 'roll': 0.995485, 'Ax': 212, 'Ay': -704, 'Az': -4218, 'timestamps': 1542884654.1167767}
{'yaw': -0.960897, 'pitch': -1.135216, 'roll': -0.256324, 'Ax': 388, 'Ay': -918, 'Az': -3822, 'timestamps': 1542884654.4345977}
{'yaw': -0.331608, 'pitch': -0.731679, 'roll': -1.564689, 'Ax': 688, 'Ay': -1082, 'Az': -3497, 'timestamps': 1542884654.434696}
{'yaw': 0.389493, 'pitch': -0.066723, 'roll': -2.979959, 'Ax': 817, 'Ay': -1212, 'Az': -3245, 'timestamps': 1542884654.4347584}
{'yaw': 1.125882, 'pitch': 0.77666, 'roll': -4.470264, 'Ax': 608, 'Ay': -1452, 'Az': -2841, 'timestamps': 1542884654.434839}
{'yaw': 1.885469, 'pitch': 1.805391, 'roll': -5.992079, 'Ax': 515, 'Ay': -1754, 'Az': -2216, 'timestamps': 1542884654.4348984}
{'yaw': 2.604313, 'pitch': 2.810711, 'roll': -7.430326, 'Ax': 415, 'Ay': -2099, 'Az': -1170, 'timestamps': 1542884654.4349535}
{'yaw': 3.269419, 'pitch': 3.599618, 'roll': -8.741587, 'Ax': 431, 'Ay': -2344, 'Az': -121, 'timestamps': 1542884654.4350069}
{'yaw': 3.873011, 'pitch': 4.107648, 'roll': -9.958887, 'Ax': 575, 'Ay': -2370, 'Az': 592, 'timestamps': 1542884654.4350672}
{'yaw': 4.423863, 'pitch': 4.502917, 'roll': -11.1928, 'Ax': 783, 'Ay': -2322, 'Az': 1236, 'timestamps': 1542884654.4351218}
{'yaw': 4.984836, 'pitch': 4.935782, 'roll': -12.42645, 'Ax': 1014, 'Ay': -2272, 'Az': 1987, 'timestamps': 1542884654.4351747}
{'yaw': 5.543351, 'pitch': 5.436317, 'roll': -13.60165, 'Ax': 1035, 'Ay': -2192, 'Az': 2858, 'timestamps': 1542884654.4352264}
{'yaw': 6.109967, 'pitch': 6.167769, 'roll': -14.70733, 'Ax': 908, 'Ay': -2056, 'Az': 3579, 'timestamps': 1542884654.4352818}
{'yaw': 6.654959, 'pitch': 7.172929, 'roll': -15.80386, 'Ax': 609, 'Ay': -1847, 'Az': 4043, 'timestamps': 1542884654.4353354}
{'yaw': 7.135475, 'pitch': 8.414886, 'roll': -16.94737, 'Ax': 294, 'Ay': -1601, 'Az': 4261, 'timestamps': 1542884654.435389}
{'yaw': 7.547109, 'pitch': 9.786208, 'roll': -18.15044, 'Ax': 33, 'Ay': -1369, 'Az': 4576, 'timestamps': 1542884654.435445}
{'yaw': 7.896106, 'pitch': 11.10724, 'roll': -19.39882, 'Ax': -90, 'Ay': -1158, 'Az': 4988, 'timestamps': 1542884654.4354982}
{'yaw': 8.098074, 'pitch': 12.07087, 'roll': -20.63015, 'Ax': -318, 'Ay': -926, 'Az': 5380, 'timestamps': 1542884654.4355505}
{'yaw': 8.237638, 'pitch': 12.79333, 'roll': -21.78401, 'Ax': -353, 'Ay': -687, 'Az': 6107, 'timestamps': 1542884654.4356024}
{'yaw': 8.366631, 'pitch': 13.35278, 'roll': -22.83488, 'Ax': -209, 'Ay': -463, 'Az': 6810, 'timestamps': 1542884654.4356563}
{'yaw': 8.451138, 'pitch': 13.69877, 'roll': -23.78395, 'Ax': -238, 'Ay': -205, 'Az': 7308, 'timestamps': 1542884654.4434705}
